data,kurs
1892,94
1893,95
1894,95
1895,96
1896,95
1897,97
1898,98
1899,99
1900,98
1901,99
1902,98
1903,99
1904,1
1905,1
1906,101
1907,103
1908,102
1909,101
1910,112
1911,102
1912,102
1913,101
1914,102
1915,102
1916,103
1917,104
1918,104
1919,105
1920,106
1921,105
1922,105
1923,107
1924,108
1925,108
1926,107
1927,108
1928,109
1929,109
1930,109
1931,109
1932,109
1933,108
1934,108
1935,108
1936,108
1937,112
1938,109
1939,109
1940,105
1941,107
1942,108
1943,109
1944,109
1945,109
1946,11
1947,11
1948,11
1949,109
1950,108
1951,11
1952,109
1953,111
1954,11
1955,11
1956,111
1957,111
1958,112
1959,112
1960,113
1961,113
1962,113
1963,112
1964,112
1965,112
1966,112
1967,113
1968,113
1969,113
1970,113
1971,113
1972,115
1973,116
1974,115
1975,116
1976,116
1977,115
1978,113
1979,115
1980,114
1981,113
1982,112
1983,112
1984,111
1985,112
1986,112
1987,113
1988,117
1989,113
1990,113
1991,113
1992,112
1993,111
1994,112
1995,111
1996,11
1997,109
1998,108
1999,107
2000,11
2001,11
2002,111
2003,112
2004,112
2005,111
2006,114
2007,112
2008,113
2009,112
2010,114
2011,114
2012,114
2013,113
2014,112
2015,115
2016,113
2017,115
2018,115
2019,115
2020,116
2021,116
2022,116
2023,116
2024,115
2025,116
2026,116
2027,116
2028,116
2029,117
2030,115
2031,116
2032,115
2033,116
2034,117
2035,117
2036,117
2037,118
2038,119
2039,118
2040,118
2041,117
2042,115
2043,112
2044,113
2045,114
2046,115
2047,115
2048,114
2049,116
2050,115
2051,117
2052,118
2053,117
2054,117
2055,118
2056,115
2057,115
2058,118
2059,117
2060,118
2061,12
2062,118
2063,118
2064,119
2065,12
2066,12
2067,119
2068,119
2069,12
2070,12
2071,12
2072,121
2073,12
2074,12
2075,121
2076,122
2077,123
2078,121
2079,122
2080,122
2081,122
2082,123
2083,121
2084,118
2085,118
2086,119
2087,119
2088,117
2089,117
2090,118
2091,12
2092,119
2093,119
2094,119
2095,118
2096,118
2097,119
2098,118
2099,118
2100,118
2101,12
2102,12
2103,119
2104,119
2105,119
2106,121
2107,121
2108,122
2109,122
2110,123
2111,123
2112,124
2113,124
2114,124
2115,124
2116,124
2117,123
2118,124
2119,125
2120,127
2121,126
2122,126
2123,131
2124,127
2125,124
2126,122
2127,124
2128,123
2129,125
